years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2008;56;Siirt;  174 325;  91 048;  83 277;  45 220;  10 827;  34 393;  24 514;  11 748;  12 766;  28 337;  16 878;  11 459;  25 222;  16 379;  8 843;  3 993;  3 076;   917;  24 807;  19 439;  5 368;  5 920;  4 319;  1 601;   331;   256;   75;   45;   27;   18;  15 936;  8 099;  7 837
2008;57;Sinop;  159 039;  77 555;  81 484;  21 226;  5 296;  15 930;  13 674;  6 007;  7 667;  62 274;  30 600;  31 674;  17 762;  8 950;  8 812;  6 344;  4 470;  1 874;  21 055;  12 205;  8 850;  8 493;  5 363;  3 130;   235;   155;   80;   55;   38;   17;  7 921;  4 471;  3 450
2008;58;Sivas;  466 808;  232 891;  233 917;  55 559;  11 122;  44 437;  29 943;  12 320;  17 623;  146 549;  70 638;  75 911;  55 348;  28 656;  26 692;  24 116;  16 466;  7 650;  90 625;  56 393;  34 232;  23 992;  15 615;  8 377;  1 014;   657;   357;   455;   323;   132;  39 207;  20 701;  18 506
2008;59;Tekirdağ;  600 450;  311 095;  289 355;  28 719;  6 342;  22 377;  27 330;  11 677;  15 653;  238 749;  113 467;  125 282;  60 835;  33 535;  27 300;  38 894;  23 345;  15 549;  127 100;  74 962;  52 138;  37 188;  22 463;  14 725;  1 931;  1 236;   695;   370;   260;   110;  39 334;  23 808;  15 526
2008;60;Tokat;  462 401;  227 548;  234 853;  60 876;  14 652;  46 224;  33 223;  15 145;  18 078;  171 331;  81 610;  89 721;  54 217;  27 621;  26 596;  19 167;  13 425;  5 742;  71 059;  43 664;  27 395;  21 611;  14 839;  6 772;   918;   605;   313;   270;   198;   72;  29 729;  15 789;  13 940
2008;61;Trabzon;  576 525;  282 405;  294 120;  60 970;  7 807;  53 163;  41 536;  14 056;  27 480;  176 230;  88 941;  87 289;  62 046;  31 731;  30 315;  29 630;  19 723;  9 907;  126 425;  73 798;  52 627;  40 642;  25 935;  14 707;  1 618;  1 004;   614;   747;   558;   189;  36 681;  18 852;  17 829
2008;62;Tunceli;  71 940;  42 282;  29 658;  9 253;  2 204;  7 049;  4 296;  2 317;  1 979;  16 702;  8 886;  7 816;  9 365;  6 615;  2 750;  2 801;  1 909;   892;  18 818;  13 129;  5 689;  3 880;  2 689;  1 191;   245;   186;   59;   17;   12;   5;  6 563;  4 335;  2 228
2008;63;Şanlıurfa;  908 807;  446 138;  462 669;  203 637;  46 594;  157 043;  188 853;  84 197;  104 656;  169 298;  107 332;  61 966;  99 031;  61 887;  37 144;  17 981;  13 266;  4 715;  82 228;  57 927;  24 301;  19 316;  13 661;  5 655;  1 206;   896;   310;   344;   255;   89;  126 913;  60 123;  66 790
2008;64;Uşak;  260 293;  127 400;  132 893;  25 785;  4 554;  21 231;  13 678;  5 891;  7 787;  112 234;  54 188;  58 046;  26 716;  13 649;  13 067;  13 896;  9 549;  4 347;  44 292;  25 042;  19 250;  14 044;  9 046;  4 998;   561;   351;   210;   98;   68;   30;  8 989;  5 062;  3 927
2008;65;Van;  588 133;  302 675;  285 458;  141 385;  33 745;  107 640;  101 147;  47 045;  54 102;  113 123;  71 143;  41 980;  74 902;  48 072;  26 830;  14 045;  10 377;  3 668;  66 160;  48 487;  17 673;  15 672;  10 975;  4 697;  1 216;   879;   337;   463;   359;   104;  60 020;  31 593;  28 427
